,humidity,rain,temperature,timestamp,hour,t_Delta,h_Delta,r_Delta
859,47.8,124,17.8,11.681,12,0,0.400000000000006,-1
1765,60.4,223,17,11.688,12,-0.5,-0.600000000000001,-5
388,49.6,152,14.5,11.693,12,0,-0.399999999999999,6
492,55.3,125,13.6,11.697,12,0.700000000000001,0.100000000000001,1
150,43.6,153,14.4,11.707,12,0.4,-0.5,17
736,47.1,124,14.2,11.71,12,0.5,-1.6,1
260,48.5,174,19.1,11.71,12,0.599999999999998,-2.4,-6
1301,50,103,15.9,11.716,12,-0.4,1.1,-1
39,45.2,160,17.8,11.72,12,0.399999999999999,-1.40000000000001,-8
1489,58.3,217,18,11.723,12,-0.100000000000001,-2.09999999999999,6
919,44.6,99,20.5,11.728,12,0,-0.399999999999999,0
1367,52.6,103,15.3,11.74,12,0.0999999999999996,1.8,0
1990,54.6,221,12.8,11.747,12,-0.200000000000001,0.399999999999999,1
607,51.9,125,10.9,11.76,12,0.199999999999999,-5.2,1
860,48.2,123,17.8,11.767,12,0.399999999999999,-0.800000000000004,1
1766,59.8,218,16.5,11.774,12,-0.300000000000001,0.100000000000001,5
389,49.2,158,14.5,11.779,12,0.199999999999999,-0.400000000000006,15
493,55.4,126,14.3,11.783,12,-0.200000000000001,-0.5,-2
151,43.1,170,14.8,11.794,12,-0.200000000000001,-0.200000000000003,-18
737,45.5,125,14.7,11.797,12,0,-3.1,-2
261,46.1,168,19.7,11.798,12,0.199999999999999,-1.8,-7
40,43.8,152,18.2,11.806,12,0.400000000000002,-0.199999999999996,-2
1490,56.2,223,17.9,11.809,12,0.600000000000001,-1.90000000000001,0
920,44.2,99,20.5,11.816,12,0.199999999999999,-1.6,1
1192,44.9,101,21.1,11.824,12,-6.1,-6.5,-5
1368,54.4,103,15.4,11.826,12,0,-1.3,2
1991,55,222,12.6,11.833,12,0.4,-4,-2
608,46.7,126,11.1,11.846,12,0.0999999999999996,1.8,5
861,47.4,124,18.2,11.852,12,0.199999999999999,-0.600000000000001,-1
1767,59.9,223,16.2,11.86,12,-0.0999999999999979,1.5,0
390,48.8,173,14.7,11.865,12,0,-0.0999999999999943,-7
494,54.9,124,14.1,11.869,12,0.200000000000001,1.6,0
152,42.9,152,14.6,11.88,12,0,1.4,6
738,42.4,123,14.7,11.884,12,0.5,1.3,2
262,44.3,161,19.9,11.884,12,-0.0999999999999979,0.5,-9
41,43.6,150,18.6,11.893,12,0.199999999999999,0.100000000000001,5
1491,54.3,223,18.5,11.895,12,-0.199999999999999,-0.699999999999996,3
921,42.6,100,20.7,11.902,12,0,0.299999999999997,0
1369,53.1,105,15.4,11.912,12,0.299999999999999,-0.399999999999999,0
1992,51,220,13,11.919,12,-0.0999999999999996,6.1,-1
609,48.5,131,11.2,11.932,12,0,-1.8,-6
862,46.8,123,18.4,11.939,12,0.100000000000001,-0.799999999999997,-1
1768,61.4,223,16.1,11.946,12,-0.600000000000001,1.8,0
391,48.7,166,14.7,11.951,12,0.200000000000001,-1.1,-10
495,56.5,124,14.3,11.955,12,-0.5,0.399999999999999,1
153,44.3,158,14.6,11.966,12,0.200000000000001,-0.899999999999999,13
263,44.8,152,19.8,11.97,12,0,1.3,17
739,43.7,125,15.2,11.97,12,0,0,-1
42,43.7,155,18.8,11.979,12,0.0999999999999979,-0.200000000000003,8
1492,53.6,226,18.3,11.981,12,-0.300000000000001,-0.300000000000004,-5
922,42.9,100,20.7,11.988,12,0,0.300000000000004,1
1370,52.7,105,15.7,11.998,12,0.699999999999999,-1.3,2
1993,57.1,219,12.9,12.005,12,0.5,-6.2,1
610,46.7,125,11.2,12.02,12,0.100000000000001,-1.7,-1
863,46,122,18.5,12.025,12,0.199999999999999,1.3,2
392,47.6,156,14.9,12.037,12,0.0999999999999996,1.9,14
496,56.9,125,13.8,12.041,12,0.199999999999999,0.5,3
154,43.4,171,14.8,12.052,12,0.0999999999999996,-0.100000000000001,-2
264,46.1,169,19.8,12.056,12,-0.100000000000001,-1.9,3
740,43.7,124,15.2,12.058,12,0.300000000000001,-1.6,1
43,43.5,163,18.9,12.065,12,0.100000000000001,0.299999999999997,-12
1493,53.3,221,18,12.067,12,0.5,0.600000000000001,1
923,43.2,101,20.7,12.074,12,0.5,0.699999999999996,-1
1371,51.4,107,16.4,12.084,12,-0.0999999999999979,0.100000000000001,-2
1994,50.9,220,13.4,12.091,12,-0.4,0.5,-1
611,45,124,11.3,12.106,12,0.399999999999999,3.3,3
864,47.3,124,18.7,12.111,12,0,-1.2,1
1769,63.2,223,15.5,12.12,12,-0.0999999999999996,0.899999999999992,0
393,49.5,170,15,12.123,12,-0.0999999999999996,-0.100000000000001,-19
497,57.4,128,14,12.127,12,0,-0.899999999999999,-3
155,43.3,169,14.9,12.138,12,-0.0999999999999996,1.40000000000001,2
265,44.2,172,19.7,12.144,12,0.100000000000001,0.899999999999999,1
741,42.1,125,15.5,12.145,12,-0.300000000000001,1.8,0
44,43.8,151,19,12.151,12,0.100000000000001,-0.399999999999999,19
1494,53.9,222,18.5,12.154,12,0.300000000000001,-1.9,3
924,43.9,100,21.2,12.16,12,0.300000000000001,-1.4,-1
1372,51.5,105,16.3,12.17,12,0.0999999999999979,-0.399999999999999,0
1995,51.4,219,13,12.178,12,0.199999999999999,8,2
612,48.3,127,11.7,12.193,12,0.200000000000001,-1.4,-1
865,46.1,125,18.7,12.2,12,0,-0.800000000000004,-2
1770,64.1,223,15.4,12.206,12,-5,34.4,-10
394,49.4,151,14.9,12.209,12,0.5,-3.3,20
498,56.5,125,14,12.214,12,-0.699999999999999,-2.2,2
156,44.7,171,14.8,12.224,12,0.199999999999999,-0.5,1
266,45.1,173,19.8,12.23,12,-0.100000000000001,0.199999999999996,-19
742,43.9,125,15.2,12.231,12,0.100000000000001,-3.8,1
1302,51.1,102,15.5,12.232,12,0.800000000000001,-0.399999999999999,0
45,43.4,170,19.1,12.238,12,0.0999999999999979,1,1
1495,52,225,18.8,12.24,12,0.399999999999999,-1.9,-3
925,42.5,99,21.5,12.246,12,0,-1.1,1
